date,category,amount,description
2025-09-01,Travel,3000.0,Munnar Trip
2026-04-01,Food,28.5,Groceries at supermarket
2026-04-02,Food,12.99,Lunch at work
2026-04-02,Bills,60.0,Internet bill
2026-04-03,Entertainment,19.99,Movie tickets
2026-04-03,Food,35.4,Restaurant dinner
2026-04-04,Shopping,75.0,New shoes
2026-04-04,Health,25.0,Gym membership
2026-04-05,Food,22.5,Coffee and breakfast
2026-04-05,Travel,45.0,Uber rides
2026-04-06,Education,50.0,Online course
2026-04-06,Food,18.75,Snacks
2026-04-07,Bills,100.0,Electricity bill
2026-04-07,Shopping,42.99,Book and stationery
2026-04-08,Food,200.0,Burger
